Name,Distance_Mpc,N_points,R_max_kpc,V_max_obs,M_baryon_est,Efficiency,Chi2_Newton,Chi2_DSO,Chi2dof_Newton,Chi2dof_DSO,Improvement,RMS_Newton,RMS_DSO,Within2sigma
NGC0024,7.3,29,11.27,110.0,5.31e+09,0.0303,1588.69,1556.32,56.74,55.58,1.02,32.6,32.4,0.138
NGC0055,2.11,21,13.50,87.4,1.08e+10,0.1143,1074.04,904.49,53.70,45.22,1.19,22.3,19.9,0.238
NGC0100,13.5,21,9.62,91.2,4.65e+09,0.0234,473.50,461.75,23.68,23.09,1.03,26.6,26.3,0.286
NGC0247,3.7,26,14.54,108.0,1.21e+10,0.1402,3366.96,3102.23,134.68,124.09,1.09,32.2,29.5,0.000
NGC0289,20.8,28,71.12,194.0,1.20e+11,0.9408,2037.15,127.47,75.45,4.72,15.98,55.6,23.7,0.714
NGC0300,2.08,25,11.80,97.0,4.69e+09,0.0239,2506.84,2462.82,104.45,102.62,1.02,36.1,35.8,0.040
NGC0801,80.7,13,59.82,238.0,4.10e+11,0.9947,686.64,2095.57,57.22,174.63,0.33,37.7,54.9,0.000
NGC0891,9.91,18,17.11,234.0,1.60e+11,0.9658,3702.46,8075.15,217.79,475.01,0.46,69.8,87.5,0.000
NGC1003,11.4,36,30.24,115.0,1.68e+10,0.2378,15107.97,12673.61,431.66,362.10,1.19,48.2,44.3,0.139
NGC1090,37.0,24,30.09,176.0,9.80e+10,0.9144,2278.53,956.20,99.07,41.57,2.38,25.7,24.6,0.000
NGC1705,5.73,14,6.00,73.2,8.13e+08,0.0007,922.98,922.82,71.00,70.99,1.00,38.1,38.1,0.000
NGC2366,3.27,26,6.06,53.7,1.22e+09,0.0016,1674.49,1672.06,66.98,66.88,1.00,16.4,16.3,0.231
